iter	MAE	RMSE
0	0.6478751098	0.7973186572
1	0.6364169055	0.7835769614
2	0.6253641213	0.7705668297
3	0.6153996379	0.7588551084
4	0.6061046854	0.7480594203
5	0.59756441	0.7380943935
6	0.5895913586	0.7288355014
7	0.5823050661	0.7201817201
8	0.5748125897	0.7117258159
9	0.5681386133	0.7040243311
10	0.5616650746	0.6966102684
11	0.5560334342	0.6900583706
12	0.5508075185	0.684023639
13	0.5458201051	0.6782857239
14	0.5404637707	0.6723468973
15	0.5358057172	0.6670627234
16	0.5313328159	0.6621154087
17	0.5273710525	0.6576161383
18	0.523512896	0.653288723
19	0.5201462849	0.6494067691
20	0.516452367	0.6452798271
21	0.5134449762	0.6418973915
22	0.5106121885	0.6387157605
23	0.5077138422	0.6355975488
24	0.5050940852	0.6327465164
25	0.5026858878	0.6300510984
26	0.4998882887	0.6270402631
27	0.4975248525	0.6244894443
28	0.4948223171	0.6215393813
29	0.4927094213	0.619240418
30	0.4907791232	0.6170868825
31	0.4890611019	0.6151472606
32	0.4867180956	0.6126607625
33	0.4849993984	0.6108355695
34	0.4831087153	0.6088906289
35	0.4814454014	0.6071122586
36	0.4801233834	0.6056784621
37	0.478590625	0.6040984669
38	0.4771916133	0.6025931756
39	0.4760078165	0.6012539677
40	0.4747052046	0.5998271856
41	0.473411709	0.598444919
42	0.4719156529	0.5968667364
43	0.470726708	0.5956442227
44	0.4696755138	0.594514915
45	0.4683152739	0.5931477174
46	0.4671182793	0.5918667737
47	0.4662582775	0.590976941
48	0.4652999007	0.589916884
49	0.4643361863	0.5888439673
50	0.4634672611	0.5879243292
51	0.4626867415	0.5870635261
52	0.4616584408	0.5860664947
53	0.4608382523	0.585164718
54	0.4598115848	0.5841069765
55	0.4590192287	0.5832807903
56	0.4580687861	0.5823062837
57	0.4574243262	0.5816389989
58	0.4566958017	0.5808797998
59	0.4561129191	0.5801967761
60	0.4553691287	0.5794406849
61	0.4548541396	0.5788654041
62	0.454103305	0.578156898
63	0.4533973919	0.5774452357
64	0.4528681938	0.5768401459
65	0.4522865862	0.5762329153
66	0.4517532112	0.5756882377
67	0.4511913022	0.5751209875
68	0.4506421612	0.5745695554
69	0.4502016326	0.574076174
70	0.4496716586	0.5735525325
71	0.4491298424	0.5730297531
72	0.4487273941	0.5726013469
73	0.4482493214	0.5721494305
74	0.4477971707	0.5716321644
75	0.4474381797	0.5712259559
76	0.4471002283	0.5708705282
77	0.4466081711	0.5703809178
78	0.4462293636	0.5700095238
79	0.4459635977	0.5697053153
80	0.4456299852	0.5693866414
81	0.4452002974	0.5689781744
82	0.4447703639	0.5685635126
83	0.4444227145	0.5682162666
84	0.4440955732	0.5678725428
85	0.4438152573	0.567560928
86	0.4435030649	0.5672273082
87	0.4431679948	0.5668717773
88	0.4428334272	0.5665553566
89	0.442554598	0.5662441993
90	0.4422688058	0.5659326255
91	0.4420081502	0.5656558599
92	0.4416011478	0.5652324325
93	0.4413548617	0.5649638195
94	0.4411140138	0.5646911738
95	0.4407505412	0.5643602911
96	0.4405023491	0.5641100037
97	0.4402591291	0.5638446452
98	0.4400872463	0.563642325
99	0.4398613339	0.5634143427
100	0.4396554897	0.5631994062
101	0.4394738482	0.5630126196
102	0.4392434525	0.5627899596
103	0.4390109638	0.5625418483
104	0.4388087744	0.5623283239
105	0.438557671	0.5620142346
106	0.4383761796	0.5617974853
107	0.4382486215	0.5616450739
108	0.4380959566	0.5614888121
