iter	Passed	Remaining
0	310	61715
1	574	56853
2	857	56338
3	1170	57344
4	1516	59134
5	1766	57120
6	2052	56592
7	2301	55245
8	2544	53995
9	2875	54633
10	3158	54266
11	3444	53964
12	3776	54328
13	4071	54096
14	4374	53952
15	4694	53981
16	5069	54574
17	5396	54562
18	5707	54369
19	6027	54249
20	6399	54550
21	6715	54331
22	7019	54018
23	7314	53636
24	7558	52907
25	7847	52515
26	8237	52779
27	8526	52375
28	8888	52411
29	9179	52014
30	9416	51334
31	9669	50762
32	9987	50543
33	10294	50260
34	10538	49679
35	10875	49542
36	11120	48988
37	11406	48629
38	11660	48136
39	11948	47793
40	12244	47485
41	12495	47006
42	12859	46953
43	13118	46510
44	13370	46055
45	13637	45656
46	13970	45479
47	14263	45169
48	14651	45151
49	15152	45458
50	15459	45165
51	15850	45113
52	16242	45051
53	16556	44764
54	16907	44573
55	17291	44464
56	17650	44280
57	17926	43890
58	18203	43504
59	18499	43165
60	18713	42642
61	19012	42318
62	19305	41981
63	19614	41681
64	20093	41732
65	20303	41221
66	20624	40940
67	20814	40405
68	21057	39978
69	21283	39526
70	21531	39120
71	21780	38721
72	22005	38282
73	22243	37874
74	22461	37435
75	22706	37047
76	22940	36644
77	23203	36292
78	23434	35894
79	23703	35554
80	23919	35141
81	24149	34751
82	24420	34423
83	24659	34053
84	24932	33731
85	25138	33322
86	25363	32942
87	25558	32529
88	25772	32143
89	26029	31814
90	26278	31476
91	26499	31108
92	26798	30832
93	27014	30463
94	27231	30097
95	27451	29739
96	27737	29453
97	28051	29195
98	28299	28870
99	28614	28614
100	28858	28287
101	29132	27990
102	29355	27645
103	29590	27314
104	29843	27001
105	30120	26710
106	30415	26435
107	30715	26164
108	30974	25859
109	31236	25557
110	31484	25244
111	31710	24915
112	31901	24561
113	32149	24253
114	32395	23944
115	32693	23674
116	32957	23380
117	33442	23239
118	34124	23227
119	34517	23011
120	34824	22736
121	35125	22456
122	35435	22183
123	35741	21906
124	36111	21667
125	36330	21337
126	36581	21027
127	36833	20718
128	37070	20403
129	37301	20085
130	37657	19834
131	37907	19527
132	38223	19255
133	38448	18937
134	38684	18625
135	38888	18300
136	39113	17986
137	39395	17699
138	39619	17387
139	39875	17089
140	40076	16769
141	40296	16459
142	40536	16158
143	40778	15858
144	41022	15560
145	41292	15272
146	41551	14981
147	41806	14688
148	42047	14392
149	42414	14138
150	42840	13901
151	43464	13725
152	43844	13468
153	44114	13176
154	44311	12864
155	44788	12632
156	45068	12343
157	45313	12045
158	45554	11746
159	45768	11442
160	46009	11145
161	46238	10846
162	46457	10545
163	46723	10256
164	46929	9954
165	47181	9663
166	47579	9401
167	47906	9125
168	48177	8837
169	48449	8549
170	48847	8284
171	49160	8002
172	49426	7713
173	49667	7421
174	50005	7143
175	50307	6860
176	50556	6569
177	50787	6277
178	51085	5993
179	51361	5706
180	51700	5427
181	51953	5138
182	52218	4850
183	52467	4562
184	52708	4273
185	53035	3991
186	53272	3703
187	53522	3416
188	53773	3129
189	53994	2841
190	54205	2554
191	54405	2266
192	54654	1982
193	54876	1697
194	55083	1412
195	55336	1129
196	55655	847
197	55890	564
198	56140	282
199	56361	0
